index,roi_name,hemisphere,region_full_name,functional_system,sub_system
0,R_V1_ROI,Right,Primary Visual Cortex (V1),Visual,EarlyRetinotopic
1,R_MST_ROI,Right,Medial Superior Temporal Area (MST),Visual,Dorsal
2,R_V6_ROI,Right,Visual Area 6 (V6),Visual,Dorsal
3,R_V2_ROI,Right,Secondary Visual Cortex (V2),Visual,EarlyRetinotopic
4,R_V3_ROI,Right,Visual Area 3 (V3),Visual,EarlyRetinotopic
5,R_V4_ROI,Right,Visual Area 4 (V4),Visual,Ventral
6,R_V8_ROI,Right,Visual Area 8 (V8),Visual,Ventral
7,R_4_ROI,Right,Primary Motor Cortex (Area 4),Motor,Primary
8,R_3b_ROI,Right,Primary Somatosensory Cortex (Area 3b),Somatosensory,Primary
9,R_FEF_ROI,Right,Frontal Eye Field,DorsalAttention,Frontal
10,R_PEF_ROI,Right,Parietal Eye Field,DorsalAttention,Parietal
11,R_55b_ROI,Right,Premotor Area 55b,Motor,Premotor
12,R_V3A_ROI,Right,Visual Area 3A (V3A),Visual,Dorsal
13,R_RSC_ROI,Right,Retrosplenial Complex,DefaultMode,Retrosplenial
14,R_POS2_ROI,Right,Parieto-Occipital Sulcus Area 2,Visual,Dorsal
15,R_V7_ROI,Right,Visual Area 7 (V7),Visual,Dorsal
16,R_IPS1_ROI,Right,Intraparietal Sulcus Area 1,DorsalAttention,Parietal
17,R_FFC_ROI,Right,Fusiform Face Complex,Visual,Ventral
18,R_V3B_ROI,Right,Visual Area 3B (V3B),Visual,Dorsal
19,R_LO1_ROI,Right,Lateral Occipital Area 1 (LO1),Visual,Lateral
20,R_LO2_ROI,Right,Lateral Occipital Area 2 (LO2),Visual,Lateral
21,R_PIT_ROI,Right,Posterior Inferotemporal Complex,Visual,Ventral
22,R_MT_ROI,Right,Middle Temporal Area (V5/MT),Visual,Dorsal
23,R_A1_ROI,Right,Primary Auditory Cortex,Auditory,Core
24,R_PSL_ROI,Right,Perisylvian Language Area,Language,Perisylvian
25,R_SFL_ROI,Right,Superior Frontal Language Area,Frontoparietal,Language
26,R_PCV_ROI,Right,Precuneus Visual Area,DefaultMode,Precuneus
27,R_STV_ROI,Right,Superior Temporal Visual Area,VentralAttention,Temporal
28,R_7Pm_ROI,Right,Medial Area 7P,DorsalAttention,Parietal
29,R_Precuneus_ROI,Right,Precuneus (Medial Area 7),DefaultMode,Precuneus
30,R_POS1_ROI,Right,Parieto-Occipital Sulcus Area 1,Visual,Dorsal
31,R_23d_ROI,Right,Dorsal Posterior Cingulate Area 23,DefaultMode,PosteriorCingulate
32,R_v23ab_ROI,Right,Ventral Posterior Cingulate Area 23ab,DefaultMode,PosteriorCingulate
33,R_d23ab_ROI,Right,Dorsal Posterior Cingulate Area 23ab,DefaultMode,PosteriorCingulate
34,R_31pv_ROI,Right,Ventral Posterior Cingulate Area 31,DefaultMode,PosteriorCingulate
35,R_5m_ROI,Right,Medial Area 5 (Superior Parietal Lobule),Somatosensory,Association
36,R_5mv_ROI,Right,Medioventral Area 5 (Superior Parietal Lobule),Somatosensory,Association
37,R_23c_ROI,Right,Central Posterior Cingulate Area 23,DefaultMode,PosteriorCingulate
38,R_5L_ROI,Right,Lateral Area 5 (Superior Parietal Lobule),Somatosensory,Association
39,R_24dd_ROI,Right,Dorsal Anterior Cingulate Area 24d,CinguloOpercular,AnteriorCingulate
40,R_24dv_ROI,Right,Ventral Anterior Cingulate Area 24d,CinguloOpercular,AnteriorCingulate
41,R_7AL_ROI,Right,Anterolateral Area 7A,DorsalAttention,Parietal
42,R_SCEF_ROI,Right,Supplementary and Cingulate Eye Field,Motor,Eye
43,R_6ma_ROI,Right,Medial Anterior Supplementary Motor Area 6 (SMA),Motor,Supplementary
44,R_7Am_ROI,Right,Anteromedial Area 7A,DorsalAttention,Parietal
45,R_7PL_ROI,Right,Posterolateral Area 7P,DorsalAttention,Parietal
46,R_7PC_ROI,Right,Superior Parietal Area 7PC,DorsalAttention,Parietal
47,R_LIPv_ROI,Right,Ventral Lateral Intraparietal Area,DorsalAttention,Parietal
48,R_VIP_ROI,Right,Ventral Intraparietal Area,DorsalAttention,Parietal
49,R_MIP_ROI,Right,Medial Intraparietal Area,DorsalAttention,Parietal
50,R_1_ROI,Right,Primary Somatosensory Cortex (Area 1),Somatosensory,Primary
51,R_2_ROI,Right,Primary Somatosensory Cortex (Area 2),Somatosensory,Primary
52,R_3a_ROI,Right,Primary Somatosensory Cortex (Area 3a),Somatosensory,Primary
53,R_6d_ROI,Right,Dorsal Premotor Area 6d,Motor,Premotor
54,R_6mp_ROI,Right,Medial Posterior Supplementary Motor Area 6 (pre-SMA),Motor,Supplementary
55,R_6v_ROI,Right,Ventral Premotor Area 6v,Motor,Premotor
56,R_p24pr_ROI,Right,Posterior Pregenual Cingulate Area 24,CinguloOpercular,MidCingulate
57,R_33pr_ROI,Right,Pregenual Cingulate Area 33,CinguloOpercular,AnteriorCingulate
58,R_a24pr_ROI,Right,Anterior Pregenual Cingulate Area 24,CinguloOpercular,AnteriorCingulate
59,R_p32pr_ROI,Right,Posterior Pregenual Cingulate Area 32,CinguloOpercular,AnteriorCingulate
60,R_a24_ROI,Right,Anterior Cingulate Area 24,CinguloOpercular,AnteriorCingulate
61,R_d32_ROI,Right,Dorsal Anterior Cingulate Area 32,CinguloOpercular,AnteriorCingulate
62,R_8BM_ROI,Right,Medial Prefrontal Area 8B,DefaultMode,Prefrontal
63,R_p32_ROI,Right,Posterior Anterior Cingulate Area 32,CinguloOpercular,AnteriorCingulate
64,R_10r_ROI,Right,Rostral Frontopolar Area 10,DefaultMode,Prefrontal
65,R_47m_ROI,Right,Medial Orbitofrontal Area 47,Limbic,Orbitofrontal
66,R_8Av_ROI,Right,Ventral Prefrontal Area 8A,DefaultMode,Prefrontal
67,R_8Ad_ROI,Right,Dorsal Prefrontal Area 8A,DefaultMode,Prefrontal
